SAMPLE,ID,SITE,LATITUDE,LONGITUDE,MONTH,YEAR,pH,N_TOTAL,P_OLSEN,ORGANIC,TYPE,SITE_ID,FILES_R1,FILES_R2
zr2757_2V3V4,Ag1_Sep17,1,"18°22'0.40""N","89°53'7.30""O",September,2017,6.2,0.36,29.6,12,16S rRNA,Ag1,zr2757_2V3V4_R1.fastq.gz,zr2757_2V3V4_R2.fastq.gz
zr2757_8V3V4,Ag1_Sep18,1,"18°22'0.40""N","89°53'7.30""O",September,2018,6.2,0.36,29.6,12,16S rRNA,Ag1,zr2757_8V3V4_R1.fastq.gz,zr2757_8V3V4_R2.fastq.gz
zr2757_9V3V4,Ag1_Sep19,1,"18°22'0.40""N","89°53'7.30""O",September,2019,6.2,0.36,29.6,12,16S rRNA,Ag1,zr2757_9V3V4_R1.fastq.gz,zr2757_9V3V4_R2.fastq.gz
zr2757_10V3V4,Ag2_Sep17,2,"18°21'34.50""N","89°54'14.60""O",September,2017,6.7,0.22,13.5,13.5,16S rRNA,Ag2,zr2757_10V3V4_R1.fastq.gz,zr2757_10V3V4_R2.fastq.gz
zr2757_6V3V4,Ag2_Sep18,2,"18°21'34.50""N","89°54'14.60""O",September,2018,6.7,0.22,13.5,13.5,16S rRNA,Ag2,zr2757_6V3V4_R1.fastq.gz,zr2757_6V3V4_R2.fastq.gz
zr2757_5V3V4,Ag2_Sep19,2,"18°21'34.50""N","89°54'14.60""O",September,2019,6.7,0.22,13.5,13.5,16S rRNA,Ag2,zr2757_5V3V4_R1.fastq.gz,zr2757_5V3V4_R2.fastq.gz
zr2757_4V3V4,Ag3_Jun19,3,"18°24'24.40""N","89°53'54.70""O",June,2019,6.1,0.29,4,24.2,16S rRNA,Ag3,zr2757_4V3V4_R1.fastq.gz,zr2757_4V3V4_R2.fastq.gz
zr2757_1V3V4,Ag3_Sep17,3,"18°24'24.40""N","89°53'54.70""O",September,2017,6.1,0.29,4,24.2,16S rRNA,Ag3,zr2757_1V3V4_R1.fastq.gz,zr2757_1V3V4_R2.fastq.gz
zr2757_3V3V4,Ag3_Sep18,3,"18°24'24.40""N","89°53'54.70""O",September,2018,6.1,0.29,4,24.2,16S rRNA,Ag3,zr2757_3V3V4_R1.fastq.gz,zr2757_3V3V4_R2.fastq.gz
zr2757_7V3V4,Ag3_Sep19,3,"18°24'24.40""N","89°53'54.70""O",September,2019,6.1,0.29,4,24.2,16S rRNA,Ag3,zr2757_7V3V4_R1.fastq.gz,zr2757_7V3V4_R2.fastq.gz
